Timestamp,Topic
3,17.25
6,17.5
9,17.5
12,18.0
15,18.25
18,19.25
21,19.75
24,21.0
27,21.25
30,22.0
33,22.25
36,23.25
39,24.0
42,24.75
45,25.25
48,26.0
51,26.5
54,28.0
57,28.25
60,29.5
63,29.75
66,30.5
69,31.25
72,31.75
75,33.25
78,33.5
81,33.75
84,35.0
87,35.5
90,36.25
93,37.5
96,38.0
99,39.0
102,39.75
105,40.5
108,41.5
111,42.25
114,42.5
117,43.0
120,43.75
123,45.0
126,45.25
129,45.75
132,46.5
135,47.5
138,48.25
141,49.25
144,49.25
147,50.0
150,51.0
153,52.25
156,53.5
159,54.0
162,54.25
165,55.0
168,56.0
171,56.75
174,57.75